Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,preprocessed_text
4756.0,0.0,0.968500018119812,"trump, big, people, one, america, make, many, thank, new, get","['conflict', 'glen', 'simpson', 'testimony', 'another', 'house', 'panel', 'contact', 'justice', 'department', 'official', 'bruce', 'ohr', 'ohr', 'used', 'simpson', 'steele', 'back', 'channel', 'get', 'fake', 'dossier', 'fbi', 'simpson', 'pleading', 'fifth.', 'catherine', 'herridge', 'jeff', 'sessions']",""" conflict between glen simpson ' s testimony to another house panel about his contact with justice department official bruce ohr . ohr was used by simpson and steele as a back channel to get ( fake ) dossier to fbi . simpson pleading fifth. "" catherine herridge . where is jeff sessions ?"
8161.0,0.0,0.968500018119812,"trump, big, people, one, america, make, many, thank, new, get","['face', 'probably', 'got', 'tax', 'cut', 'new', 'york', 'times', 'headline', 'true', 'republicans', 'take', 'back', 'house', 'keep', 'senate', 'presidency', 'one', 'first', 'acts', 'approve', 'major', 'middle', 'income', 'tax', 'cut', 'democrats', 'want', 'raise', 'taxes']",""" face it you probably got a tax cut ! "" this was a new york times headline and it is very true . if republicans take back the house and keep the senate and presidency one of our first acts will be to approve a major middle income tax cut ! democrats only want to raise your taxes !"
5754.0,0.0,0.968500018119812,"trump, big, people, one, america, make, many, thank, new, get","['beautiful', 'midwest', 'windchill', 'temperatures', 'reaching', 'minus', 'degrees', 'coldest', 'ever', 'recorded', 'coming', 'days', 'expected', 'get', 'even', 'colder', 'people', 'last', 'outside', 'even', 'minutes', 'hell', 'going', 'global', 'waming', 'please', 'come', 'back', 'fast', 'need']",in the beautiful midwest windchill temperatures are reaching minus 60 degrees the coldest ever recorded . in coming days expected to get even colder . people can ' t last outside even for minutes . what the hell is going on with global waming ? please come back fast we need you !
4208.0,0.0,0.9663000106811523,"trump, big, people, one, america, make, many, thank, new, get","['big', 'rally', 'tonight', 'west', 'virginia', 'patrick', 'morrisey', 'running', 'race', 'u.s.', 'senate', 'done', 'much', 'west', 'virginia', 'odds', 'patrick', 'real', 'fighter', 'side', 'make', 'things', 'much', 'easier', 'see', 'later', 'clean', 'coal']",big rally tonight in west virginia . patrick morrisey is running a great race for u.s. senate . i have done so much for west virginia against all odds and having patrick a real fighter by my side would make things so much easier . see you later . clean coal ! ! ! !
7305.0,0.0,0.9663000106811523,"trump, big, people, one, america, make, many, thank, new, get","['.in', 'country', 'history', 'poverty', 'index', 'also', 'best', 'number', 'ever', 'leagues', 'teams', 'love', 'coming', 'white', 'house', 'big', 'fan', 'american', 'team', 'women', 'soccer', 'megan', 'win', 'first', 'talks', 'finish', 'job', 'yet']",... .in our country ' s history and the poverty index is also best number ever ) leagues and teams love coming to the white house . i am a big fan of the american team and women ' s soccer but megan should win first before she talks ! finish the job ! we haven ' t yet ... .
,,,,,
2811.0,1.0,0.9693999886512756,"people, president, united, many, democrats, much, states, china, state, years","['starting', 'small', 'bible', 'school', 'florida', 'billy', 'graham', 'soon', 'led', 'nationwide', 'revival', 'large', 'tent', 'los', 'angeles', 'one', 'hundred', 'thousand', 'people', 'single', 'day', 'yankee', 'stadium', 'two', 'million', 'people', 'madison', 'square', 'garden', 'sixteen', 'weeks']",starting at a small bible school in florida billy graham soon led a nationwide revival . from a large tent in los angeles to one hundred thousand people in a single day at yankee stadium to more than two million people at madison square garden over sixteen weeks in 1957 ... msciurl
6736.0,1.0,0.9663000106811523,"people, president, united, many, democrats, much, states, china, state, years","['.employment', 'numbers', 'ever', 'low', 'taxes', 'regulations', 'rebuilt', 'military', 'v.a', 'many', 'new', 'judges', 'much', 'giant', 'scam', 'perpetrated', 'upon', 'nation', 'witch', 'hunt', 'treasonous', 'hoax', 'constitutional', 'crisis', 'hopefully', 'guilty', 'people', 'pay']",... .employment numbers ever low taxes & regulations a rebuilt military & v.a . many great new judges & so much more . but we have had a giant scam perpetrated upon our nation a witch hunt a treasonous hoax . that is the constitutional crisis & hopefully guilty people will pay !
8525.0,1.0,0.9663000106811523,"people, president, united, many, democrats, much, states, china, state, years","['let', 'brett', 'kavanaugh', 'give', 'radical', 'left', 'democrat', 'liberal', 'plus', 'opinions', 'based', 'threats', 'impeaching', 'made', 'stories', 'sound', 'familiar', 'false', 'allegations', 'lies', 'game', 'play', 'fake', 'corrupt', 'news', 'working', 'overtime', 'twithashtagprotectkavanaugh']",can ' t let brett kavanaugh give radical left democrat ( liberal plus ) opinions based on threats of impeaching him over made up stories ( sound familiar ? ) false allegations and lies . this is the game they play . fake and corrupt news is working overtime ! twithashtagprotectkavanaugh
7400.0,1.0,0.9650999903678894,"people, president, united, many, democrats, much, states, china, state, years","['..came', 'far', 'safer', 'conditions', 'matter', 'good', 'things', 'actually', 'look', 'even', 'perfect', 'democrat', 'visitors', 'act', 'shocked', 'aghast', 'terrible', 'things', 'pols', 'really', 'want', 'fix', 'change', 'immigration', 'laws', 'loopholes', 'easy']",... ..came from and in far safer conditions . no matter how good things actually look even if perfect the democrat visitors will act shocked & aghast at how terrible things are . just pols . if they really want to fix them change the immigration laws and loopholes . so easy to do !
3107.0,1.0,0.9650999903678894,"people, president, united, many, democrats, much, states, china, state, years","['thank', 'san', 'diego', 'county', 'defending', 'rule', 'law', 'supporting', 'lawsuit', 'california', ""'s"", 'illegal', 'unconstitutional', ""'sanctuary"", 'policies', 'california', ""'s"", 'dangerous', 'policies', 'release', 'violent', 'criminals', 'back', 'communities', 'putting', 'americans', 'risk']",thank you san diego county for defending the rule of law and supporting our lawsuit against california 's illegal and unconstitutional 'sanctuary ' policies . california 's dangerous policies release violent criminals back into our communities putting all americans at risk .
,,,,,
