source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
WH Digital,Catch up on what the West Wing staff is reading today: https://t.co/S4fEtN4J3V,12-05-2017 00:51:01,,,false,937846737041022977
Twitter for iPhone,RT @VP: Important dialogue with Bashar Warda the Archbishop of Erbil about @POTUS' commitment to directly assist persecuted Christians &amp;…,12-04-2017 23:44:01,,,true,937829878212321280
Twitter for iPhone,RT @VP: Congratulations Ambassador Ed McMullen! Under the leadership of @POTUS Trump and with Ambassador McMullen as America’s Ambassador t…,12-04-2017 23:38:22,,,true,937828456754241538
WH Digital,President Trump is ending past overreach and abuse of the monument review process under the Antiquities Act that ha… https://t.co/M21FD5xwsp,12-04-2017 23:22:02,,,false,937824345174544386
WH Digital,Las Vegas Review-Journal: "Economy showing major progress under President Donald Trump" https://t.co/1ESVuWl26e,12-04-2017 23:03:01,,,false,937819558383161344
WH Digital,RT @NatResources: THANK YOU @realDonaldTrump &amp; @SecretaryZinke for putting the PEOPLE ahead of POLITICS! Another promise kept! 🇺🇸#BearsEa…,12-04-2017 22:07:51,,,true,937805677606600705
WH Digital,President Trump stands with local communities against government overreach on land management. More:… https://t.co/ZYb1sTPjP8,12-04-2017 22:04:02,,,false,937804714556690432
WH Digital,Senate Majority Leader Mitch McConnell: "Tax Reform: What's in It for You" https://t.co/0uFUiKr5gj,12-04-2017 20:08:01,,,false,937775518258262017
WH Digital,Watch LIVE as President Trump gives remarks at the Utah State Capitol: https://t.co/lFOkDaVGOc https://t.co/FGpFsrqAxE,12-04-2017 19:21:36,,,false,937763837201305600
WH Digital,Washington Examiner: "Democrats' straw man fights tax cuts" https://t.co/4qqez4AE2B,12-04-2017 16:11:01,,,false,937715875116961792
WH Digital,The road ahead for tax reform: https://t.co/kh0FBLs34U,12-04-2017 15:21:01,,,false,937703292750229505
